Card Name,Type,Mana Cost,Color Identity,Powep,Toughness,Abilities/Effects,Rarity,Set/Edition,Scryfall ID
Thoughtbound Phantasm,Creature — Spirit,{U},['U'],2,2,"Defender
Whenever you surveil, put a +1/+1 counter on Thoughtbound Phantasm.
As long as Thoughtbound Phantasm has three or more +1/+1 counters on it, it can attack as though it didn't have defender.",uncommon,mkc,dbcdf292-a391-4452-8116-20084754f591
Tideshaper Mystic,Creature — Merfolk Wizard,{U},['U'],1,1,{T}: Target land becomes the basic land type of your choice until end of turn. Activate only during your turn.,common,lrw,e526ebbf-2041-4c3e-9a20-73bbf6f90251
Totally Lost,Instant,{4}{U},['U'],,,Put target nonland permanent on top of its owner's library.,common,rvr,c36f01a5-82bf-4fc6-9396-4410067c351b
Tower Geist,Creature — Spirit,{3}{U},['U'],2,2,"Flying
When Tower Geist enters, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",uncommon,ddq,3304c2bc-2d05-497d-b92a-3de21a9d6b45
Unexplained Vision,Sorcery,{4}{U},['U'],,,"Draw three cards.
Adamant — If at least three blue mana was spent to cast this spell, scry 3.",common,eld,c1de1d84-e548-409d-b9ec-d2665477b43d
Unsummon,Instant,{U},['U'],,,Return target creature to its owner's hand.,common,m20,7a960516-3864-4a7a-8117-d25dec0dd665
Upheaval,Sorcery,{4}{U}{U},['U'],,,Return all permanents to their owners' hands.,rare,mh2,befe74b1-c487-42bb-a1a1-4d13f3a86ff7
Vantress Paladin,Creature — Human Knight,{3}{U},['U'],2,2,"Flying
Adamant — If at least three blue mana was spent to cast this spell, Vantress Paladin enters with a +1/+1 counter on it.",common,eld,52dd633f-9a07-47df-adb1-36013fc2f43a
Void Squall,Sorcery,{4}{U},['U'],,,"Return target nonland permanent to its owner's hand.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",uncommon,dtk,3d8a7aee-6403-44ce-a119-66147aa311fd
Warped Physique,Instant,{U}{B},"['B', 'U']",,,"Target creature gets +X/-X until end of turn, where X is the number of cards in your hand.",uncommon,gk1,30859a76-8ef6-4468-8e7c-fd21837d2a6c
Watcher in the Mist,Creature — Spirit,{3}{U}{U},['U'],3,4,"Flying
When Watcher in the Mist enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,clu,fd0c6c65-b4dc-4e4a-bbfe-6cf7cab5b48b
Wind Drake,Creature — Drake,{2}{U},['U'],2,2,Flying,common,kld,5e227a63-abea-494e-9d66-6ff0a3da14ca
Wishcoin Crab,Creature — Crab,{3}{U},['U'],2,5,,common,m21,348955a0-e988-48d7-a6a0-a8045fcffd25
Wishful Merfolk,Creature — Merfolk,{1}{U},['U'],3,2,"Defender
{1}{U}: Wishful Merfolk loses defender and becomes a Human until end of turn.",common,eld,f9358d5d-726e-43e0-a58e-4cfe7c755913
Whisper Agent,Creature — Human Rogue,{1}{U/B}{U/B},"['B', 'U']",3,2,"Flash
When Whisper Agent enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",common,clu,521d1016-6f80-49a2-a76b-59e86d3fae3e
Witching Well,Artifact,{U},['U'],,,"When Witching Well enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
{3}{U}, Sacrifice Witching Well: Draw two cards.",common,cmm,d2f028cd-1cb4-4a5b-b989-4acd8777ac5c
Whirler Rogue,Creature — Human Rogue Artificer,{2}{U}{U},['U'],2,2,"When Whirler Rogue enters, create two 1/1 colorless Thopter artifact creature tokens with flying.
Tap two untapped artifacts you control: Target creature can't be blocked this turn.",uncommon,otc,d1054d2b-a424-466d-8ec6-36f014849e43
Zephyr Net,Enchantment — Aura,{1}{U},['U'],,,"Enchant creature
Enchanted creature has defender and flying.",common,lrw,817b8996-388f-4704-a4c8-ef99d4701805
Zulaport Duelist,Creature — Human Rogue,{U},['U'],1,1,"Flash
When Zulaport Duelist enters, up to one target creature gets -2/-0 until end of turn. Its controller mills two cards. (They put the top two cards of their library into their graveyard.)",common,znr,0b4c7268-60c6-4038-8ce9-d9d51bed4577
Pond Prophet,Creature — Frog Advisor,{G/U}{G/U},"['G', 'U']",1,1,"When Pond Prophet enters, draw a card.",common,blb,fb959e74-61ea-453d-bb9f-ad0183c0e1b1
Stormcatch Mentor,Creature — Otter Wizard,{U}{R},"['R', 'U']",1,1,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Instant and sorcery spells you cast cost {1} less to cast.",uncommon,blb,99754055-6d67-4fde-aff3-41f6af6ea764
"Alania, Divergent Storm",Legendary Creature — Otter Wizard,{3}{U}{R},"['R', 'U']",3,5,"Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy.",rare,blb,436d6a84-4cea-4ca7-94aa-9d08280652af
Azure Beastbinder,Creature — Rat Rogue,{1}{U},['U'],1,3,"Vigilance
Azure Beastbinder can't be blocked by creatures with power 2 or greater.
Whenever Azure Beastbinder attacks, up to one target artifact, creature, or planeswalker an opponent controls loses all abilities until your next turn. If it's a creature, it also has base power and toughness 2/2 until your next turn.",rare,blb,211af1bf-910b-41a5-b928-f378188d1871
Bellowing Crier,Creature — Frog Advisor,{1}{U},['U'],2,1,"When Bellowing Crier enters, draw a card, then discard a card.",common,blb,ca2215dd-6300-49cf-b9b2-3a840b786c31
Dazzling Denial,Instant,{1}{U},['U'],,,"Counter target spell unless its controller pays {2}. If you control a Bird, counter that spell unless its controller pays {4} instead.",common,blb,8739f1ac-2e57-4b52-a7ff-cc8df5936aad
Dire Downdraft,Instant,{3}{U},['U'],,,"This spell costs {1} less to cast if it targets an attacking or tapped creature.
Target creature's owner puts it on the top or bottom of their library.",common,blb,f1931f22-974c-43ad-911e-684bf3f9995d
Finch Formation,Creature — Bird Scout,{2}{U},['U'],2,2,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
When this creature enters, target creature you control gains flying until end of turn.",common,blb,1c671eab-d1ef-4d79-94eb-8b85f0d18699
Kitnap,Enchantment — Aura,{2}{U}{U},['U'],,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, when it enters, they draw a card.)
Enchant creature
When Kitnap enters, tap enchanted creature. If the gift wasn't promised, put three stun counters on it.
You control enchanted creature.",rare,blb,085be5d1-fd85-46d1-ad39-a8aa75a06a96
Lightshell Duo,Creature — Rat Otter,{3}{U},['U'],3,4,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Lightshell Duo enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,blb,2f00c834-b4a9-45b8-bb3f-22c2a42314a0
Otterball Antics,Sorcery,{1}{U},['U'],,,"Create a 1/1 blue and red Otter creature token with prowess. If this spell was cast from anywhere other than your hand, put a +1/+1 counter on that creature. (Whenever you cast a noncreature spell, a creature with prowess gets +1/+1 until end of turn.)
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",uncommon,blb,3ff83ff7-e428-4ccc-8341-f223dab76bd1
Pearl of Wisdom,Sorcery,{2}{U},['U'],,,"This spell costs {1} less to cast if you control an Otter.
Draw two cards.",common,blb,13cb9575-1138-4f99-8e90-0eaf00bdf4a1
Run Away Together,Instant,{1}{U},['U'],,,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,common,blb,7cb7ec70-a5a4-4188-ba1a-e88b81bdbad0
Shoreline Looter,Creature — Rat Rogue,{1}{U},['U'],1,1,"Shoreline Looter can't be blocked.
Threshold — Whenever Shoreline Looter deals combat damage to a player, draw a card. Then discard a card unless seven or more cards are in your graveyard.",uncommon,blb,d5bf8cf0-419a-4dc9-9342-aad55c1af05a
Thought Shucker,Creature — Rat Rogue,{1}{U},['U'],1,3,Threshold — {1}{U}: Put a +1/+1 counter on Thought Shucker and draw a card. Activate only if seven or more cards are in your graveyard and only once.,common,blb,44b0d83b-cc41-4f82-892c-ef6d3293228a
Curious Homunculus // Voracious Reader,Creature — Homunculus // Creature — Eldrazi Homunculus,,,,,,uncommon,emn,22e816af-df55-4a3f-a6e7-0ff3bb1b45b5
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,blb,ab53b300-38b2-436c-834c-b0162dd3b757
Thistledown Players,Creature — Mouse Bard,{2}{W},['W'],3,3,"Whenever Thistledown Players attacks, untap target nonland permanent.",common,blb,afa8d83f-8586-4127-8b55-9715e9547488
Sonar Strike,Instant,{1}{W},['W'],,,"Sonar Strike deals 4 damage to target attacking, blocking, or tapped creature. You gain 3 life if you control a Bat.",common,blb,a50da179-751f-47a8-a547-8c4a291ed381
Wax-Wane Witness,Creature — Bat Cleric,{3}{W},['W'],2,4,"Flying, vigilance
Whenever you gain or lose life during your turn, Wax-Wane Witness gets +1/+0 until end of turn.",common,blb,d90ea719-5320-46c6-a347-161853a14776
Rabbit Response,Instant,{2}{W}{W},['W'],,,"Creatures you control get +2/+1 until end of turn. If you control a Rabbit, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",common,blb,c4ded450-346d-4917-917a-b62bc0267509
Carrot Cake,Artifact — Food,{1}{W},['W'],,,"When Carrot Cake enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{2}, {T}, Sacrifice Carrot Cake: You gain 3 life.",common,blb,eb03bb4f-8b4b-417e-bfc6-294cd2186b2e
Banishing Light,Enchantment,{2}{W},['W'],,,"When Banishing Light enters, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.",common,blb,25a06f82-ebdb-4dd6-bfe8-958018ce557c
Accursed Spirit,Creature — Spirit,{3}{B},['B'],3,2,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),common,m15,2513fe72-4e20-49e6-9970-839f1c635792
Acid-Spewer Dragon,Creature — Dragon,{5}{B},['B'],3,3,"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.",uncommon,dtk,aa8f58f1-4843-4926-b3c4-98898201c216
Acquisitions Expert,Creature — Human Rogue,{1}{B},['B'],1,2,"When Acquisitions Expert enters, target opponent reveals a number of cards from their hand equal to the number of creatures in your party. You choose one of those cards. That player discards that card. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",uncommon,znr,281336c7-ca7c-4c91-bdfb-d253a965cb7c
Altar's Reap,Instant,{1}{B},['B'],,,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.",common,cma,1db55625-25a5-46eb-9d9c-9b3ed219359f
Ambition's Cost,Sorcery,{3}{B},['B'],,,You draw three cards and you lose 3 life.,uncommon,cma,808a8b36-532f-4f38-9cfc-6c715d4ee4f6
Agate-Blade Assassin,Creature — Lizard Assassin,{1}{B},['B'],1,3,"Whenever Agate-Blade Assassin attacks, defending player loses 1 life and you gain 1 life.",common,blb,39ebb84a-1c52-4b07-9bd0-b360523b3a5b
Banshee of the Dread Choir,Creature — Spirit,{3}{B}{B},['B'],4,4,"Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)
Whenever Banshee of the Dread Choir deals combat damage to a player, that player discards a card.",uncommon,cma,b019f6b5-ce8f-4b95-8fcb-72dc4931b3aa
Barrier of Bones,Creature — Skeleton Wall,{B},['B'],0,3,"Defender
When Barrier of Bones enters, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",common,grn,28129aaf-aaff-47f4-8dd2-8c576c55052c
Barter in Blood,Sorcery,{2}{B}{B},['B'],,,Each player sacrifices two creatures.,uncommon,cma,37d5b6d7-1b3f-4586-8969-8c5d7457b75f
Bartizan Bats,Creature — Bat,{3}{B},['B'],3,1,Flying (This creature can't be blocked except by creatures with flying or reach.),common,m20,445e41d8-317d-46ce-b858-54df716e0214
Blackbloom Rogue // Blackbloom Bog,Creature — Human Rogue // Land,,,,,,uncommon,znr,32779721-b021-4bd4-95d1-4a19b78d9faa
Blightcaster,Creature — Human Wizard,{3}{B},['B'],2,3,"Whenever you cast an enchantment spell, you may have target creature get -2/-2 until end of turn.",uncommon,ori,b8986163-6362-4c70-8ece-22ae22da5031
Bonebind Orator,Creature — Squirrel Warlock Bard,{1}{B},['B'],2,2,"{3}{B}, Exile Bonebind Orator from your graveyard: Return another target creature card from your graveyard to your hand.",common,blb,faf226fa-ca09-4468-8804-87b2a7de2c66
Blood Bairn,Creature — Vampire,{2}{B},['B'],2,2,Sacrifice another creature: Blood Bairn gets +2/+2 until end of turn.,common,cma,433821dd-9a38-4ace-b9d2-cd081784e957
Blood Beckoning,Sorcery,{B},['B'],,,"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Return target creature card from your graveyard to your hand. If this spell was kicked, instead return two target creature cards from your graveyard to your hand.",common,znr,0cb88075-14f8-4ac9-b947-5ca1d30938f1
Bog Hoodlums,Creature — Goblin Warrior,{5}{B},['B'],4,1,"Bog Hoodlums can't block.
When Bog Hoodlums enters, clash with an opponent. If you win, put a +1/+1 counter on Bog Hoodlums. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",common,lrw,f2459953-a4b5-4a9c-85ed-928b684d7240
Boggart Birth Rite,Kindred Sorcery — Goblin,{B},['B'],,,Return target Goblin card from your graveyard to your hand.,common,lrw,1bb4916d-ab50-45c9-bf7e-e7a7e761aef4
Bone Shards,Sorcery,{B},['B'],,,"As an additional cost to cast this spell, sacrifice a creature or discard a card.
Destroy target creature or planeswalker.",common,mh2,1ee98955-4c47-4d45-9377-608dfa755337
Borrowed Malevolence,Instant,{B},['B'],,,"Escalate {2} (Pay this cost for each mode chosen beyond the first.)
Choose one or both —
• Target creature gets +1/+1 until end of turn.
• Target creature gets -1/-1 until end of turn.",common,emn,a71f123e-aad9-4f3e-9f43-1d1be359affb
Breathstealer,Creature — Nightstalker,{2}{B},['B'],2,2,{B}: Breathstealer gets +1/-1 until end of turn.,common,mir,0cd9da69-5e57-4719-a712-630c9464fada
Brink of Disaster,Enchantment — Aura,{2}{B}{B},['B'],,,"Enchant creature or land
When enchanted permanent becomes tapped, destroy it.",common,m12,dbab78cd-a899-4c5d-86b3-0666adadba87
Butcher's Glee,Instant,{2}{B},['B'],,,Target creature gets +3/+0 and gains lifelink until end of turn. Regenerate it. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.),common,ima,92a00c8d-9dac-4edc-b66c-ab3245d80969
Cast into Darkness,Enchantment — Aura,{1}{B},['B'],,,"Enchant creature
Enchanted creature gets -2/-0 and can't block.",common,jou,0c1880d4-90c7-46a2-bbc9-d2b52971d11c
Catacomb Slug,Creature — Slug,{4}{B},['B'],2,6,,common,ori,d30d6df7-6199-4b06-9d45-785ee1e2ed3b
Cemetery Recruitment,Sorcery,{1}{B},['B'],,,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card.",common,emn,3a23adea-9f4a-409c-a37d-323eee781273
Certain Death,Sorcery,{5}{B},['B'],,,Destroy target creature. Its controller loses 2 life and you gain 2 life.,common,w17,a6f7a23a-0966-4060-8034-734df6f0f29f
Child of Night,Creature — Vampire,{1}{B},['B'],2,1,Lifelink,common,m19,3867704d-d2ef-4185-b53d-84eba6a6776f
Coat with Venom,Instant,{B},['B'],,,Target creature gets +1/+2 and gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.),common,e02,cc4baf68-7399-40f1-b60c-44f078b65e75
Complete Disregard,Instant,{2}{B},[],,,"Devoid (This card has no color.)
Exile target creature with power 3 or less.",common,bfz,7d94e878-6c49-4420-9d34-f9ee64e811ba
Corpse Augur,Creature — Zombie Wizard,{3}{B},['B'],4,2,"When Corpse Augur dies, you draw X cards and you lose X life, where X is the number of creature cards in target player's graveyard.",uncommon,cmm,14fc0dfb-663a-4713-902e-96dbecc404b7
Deadly Wanderings,Enchantment,{3}{B}{B},['B'],,,"As long as you control exactly one creature, that creature gets +2/+0 and has deathtouch and lifelink.",uncommon,dtk,23bb5d9f-9b12-482a-91b4-6786e8310805
Death Watch,Enchantment — Aura,{B},['B'],,,"Enchant creature
When enchanted creature dies, its controller loses life equal to its power and you gain life equal to its toughness.",common,vis,0e939d8f-6989-4884-989b-9cba566c9963
Deathknell Berserker,Creature — Elf Berserker,{1}{B},['B'],2,2,"When Deathknell Berserker dies, if its power was 3 or greater, create a 2/2 black Zombie Berserker creature token.",common,khm,f9f2029f-ffda-4374-9a78-79866ac23fca
Debilitating Injury,Enchantment — Aura,{1}{B},['B'],,,"Enchant creature
Enchanted creature gets -2/-2.",common,ktk,09b2b263-34db-4961-bf41-1eaaba3701da
Desperate Castaways,Creature — Human Pirate,{1}{B},['B'],2,3,Desperate Castaways can't attack unless you control an artifact.,common,xln,98a92dde-7a84-40fb-a11e-54c7d3057126
Destroy the Evidence,Sorcery,{4}{B},['B'],,,"Destroy target land. Its controller reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",common,rtr,bca53097-108d-457e-831c-e3d6cb499a41
Die Young,Sorcery,{1}{B},['B'],,,"Choose target creature. You get {E}{E} (two energy counters), then you may pay any amount of {E}. The creature gets -1/-1 until end of turn for each {E} paid this way.",common,kld,daf7bb52-013f-4d8d-b4ea-53d1fa4bb694
Disentomb,Sorcery,{B},['B'],,,Return target creature card from your graveyard to your hand.,common,m13,ce7473bb-d092-4d76-b3c3-5036222dbdf7
Dire Fleet Interloper,Creature — Human Pirate,{3}{B},['B'],2,2,"Menace
When Dire Fleet Interloper enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",common,xln,e2e3f7ee-98d0-45bd-97ae-3dc8050085a1
Dogged Pursuit,Enchantment,{3}{B},['B'],,,"At the beginning of your end step, each opponent loses 1 life and you gain 1 life.",common,khm,60f6a159-b969-4767-802e-409f8bf286fe
Douser of Lights,Creature — Horror,{4}{B},['B'],4,5,,common,grn,7c554be7-6fd4-4642-aaa0-2781d9c388e4
Dreamspoiler Witches,Creature — Faerie Wizard,{3}{B},['B'],2,2,"Flying
Whenever you cast a spell during an opponent's turn, you may have target creature get -1/-1 until end of turn.",common,mma,0e893376-f82b-49b5-b641-85d2458ae261
Drown in Filth,Sorcery,{B}{G},"['B', 'G']",,,"Choose target creature. Mill four cards, then that creature gets -1/-1 until end of turn for each land card in your graveyard.",common,gk1,eeb8576a-752c-4f11-9f4c-75a6e77a085c
Duress,Sorcery,{B},['B'],,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",common,m14,ccfa743c-b30a-4576-8205-8f00970d1076
Dutiful Attendant,Creature — Human Warrior,{2}{B},['B'],1,2,"When Dutiful Attendant dies, return another target creature card from your graveyard to your hand.",common,dtk,4ee71b19-eb1d-4f5a-a1b7-1799f2f50da0
Duress,Sorcery,{B},['B'],,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",common,m21,49c07ea0-27ff-46fb-a41f-3e378c977b5d
Elderfang Disciple,Creature — Elf Cleric,{1}{B},['B'],1,1,"When Elderfang Disciple enters, each opponent discards a card.",common,khm,7f3a6148-d005-49c1-a7fc-867c4e8251cd
Erstwhile Trooper,Creature — Zombie Soldier,{1}{B}{G},"['B', 'G']",2,2,Discard a creature card: Erstwhile Trooper gets +2/+2 and gains trample until end of turn. Activate only once each turn.,common,grn,351ee4ba-882d-48c1-837d-e9eccc5bc50d
Exiled Boggart,Creature — Goblin Rogue,{1}{B},['B'],2,2,"When Exiled Boggart dies, discard a card.",common,lrw,5fe41509-02db-415c-964e-971ea1d5485c
Expedition Skulker,Creature — Vampire Rogue,{1}{B},['B'],2,2,Expedition Skulker has deathtouch as long as you control another Rogue.,common,znr,2966b1f0-3d30-4d92-87e5-f39ceacefbd2
Facevaulter,Creature — Goblin Warrior,{B},['B'],1,1,"{B}, Sacrifice a Goblin: Facevaulter gets +2/+2 until end of turn.",common,mma,a1a25f62-0ef5-4941-b9af-1ce1a63fb5e8
Festering March,Sorcery,{3}{B}{B},['B'],,,"Creatures your opponents control get -1/-1 until end of turn. Exile Festering March with three time counters on it.
Suspend 3—{2}{B} (Rather than cast this card from your hand, you may pay {2}{B} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)",uncommon,fut,2c34e6aa-0414-45ba-b6eb-1ac4255d7de8
Flatten,Instant,{3}{B},['B'],,,Target creature gets -4/-4 until end of turn.,common,dtk,a2acae67-5238-40bb-a173-6fc858264a6c
Flesh to Dust,Instant,{3}{B}{B},['B'],,,Destroy target creature. It can't be regenerated.,common,ori,4fd4b0f6-fc67-48aa-9f17-21a79bd0c3d3
Forsworn Paladin,Creature — Human Knight,{B},['B'],1,1,"Menace
{1}{B}, {T}, Pay 1 life: Create a Treasure token.
{2}{B}: Target creature gets +2/+0 until end of turn. If mana from a Treasure was spent to activate this ability, that creature also gains deathtouch until end of turn.",rare,afr,4acaf396-f950-42da-85ab-149ffb31fee6
Foul Orchard,Land,,[],,,"Foul Orchard enters tapped.
{T}: Add {B} or {G}.",uncommon,khc,1e1bad7b-e102-4dff-b79a-fd755c2b6d49
Foul-Tongue Shriek,Instant,{B},['B'],,,Target opponent loses 1 life for each attacking creature you control. You gain that much life.,common,dtk,81d98ee0-6b32-4735-89f1-b37da766761f
Gavony Unhallowed,Creature — Zombie,{3}{B},['B'],2,4,"Whenever another creature you control dies, put a +1/+1 counter on Gavony Unhallowed.",common,emn,21f4c713-089b-497c-8c0f-826cab10aa87
Ghoulcaller's Accomplice,Creature — Human Rogue,{1}{B},['B'],2,2,"{3}{B}, Exile Ghoulcaller's Accomplice from your graveyard: Create a 2/2 black Zombie creature token. Activate only as a sorcery.",common,uma,4e27974c-1279-486f-8e14-b326cd90cb06
Graf Rats,Creature — Rat,{1}{B},['B'],2,1,"At the beginning of combat on your turn, if you both own and control Graf Rats and a creature named Midnight Scavengers, exile them, then meld them into Chittering Host.",common,emn,3dedaff6-bd69-4fe3-a301-f7ea7c2f2861
Gray Merchant of Asphodel,Creature — Zombie,{3}{B}{B},['B'],2,4,"When Gray Merchant of Asphodel enters, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",common,c14,430fcd3e-a70a-4554-9c48-1a1b11d0a95c
Gravepurge,Instant,{2}{B},['B'],,,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card.",common,dtk,b5bf549c-799f-456f-85d5-8a7302bc729d
Grisly Salvage,Instant,{B}{G},"['B', 'G']",,,Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.,common,m3c,a755a597-66ad-412c-b98f-4739a704853b
Grisly Transformation,Enchantment — Aura,{2}{B},['B'],,,"Enchant creature
When Grisly Transformation enters, draw a card.
Enchanted creature has intimidate. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)",common,bng,4eb0ce84-560f-4e39-a0ab-7bd710d541cc
Grotesque Mutation,Instant,{1}{B},['B'],,,Target creature gets +3/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),common,bbd,83684009-f91d-4503-bdbb-181c53f394de
Golgari Charm,Instant,{B}{G},"['B', 'G']",,,"Choose one —
• All creatures get -1/-1 until end of turn.
• Destroy target enchantment.
• Regenerate each creature you control.",uncommon,uma,9d467e61-bbec-4cea-bd5d-f10555910c9d
Golgari Guildgate,Land — Gate,,[],,,"Golgari Guildgate enters tapped.
{T}: Add {B} or {G}.",common,rvr,4fb450ae-0dc7-47bd-9a60-1cc4d9d5a695
Golgari Rot Farm,Land,,[],,,"Golgari Rot Farm enters tapped.
When Golgari Rot Farm enters, return a land you control to its owner's hand.
{T}: Add {B}{G}.",uncommon,blc,5fe6e199-26b5-4744-9748-f64ecadefc2f
Hailstorm Valkyrie,Snow Creature — Angel Wizard,{3}{B},['B'],2,2,"Flying, trample
{S}{S}: Hailstorm Valkyrie gets +2/+2 until end of turn. ({S} can be paid with one mana from a snow source.)",uncommon,khm,a5a272b3-aaab-4c98-86a8-85c67a5f3d4d
Hand of Silumgar,Creature — Human Warrior,{1}{B},['B'],2,1,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),common,bbd,d3cbb127-6149-4d0b-ad98-1968f2ebe8e4
Harsh Scrutiny,Sorcery,{B},['B'],,,Target opponent reveals their hand. You choose a creature card from it. That player discards that card. Scry 1.,uncommon,kld,fe68b484-cc8d-4a0b-94c2-1fec9090dfcd
Haunted Dead,Creature — Zombie,{3}{B},['B'],2,2,"When Haunted Dead enters, create a 1/1 white Spirit creature token with flying.
{1}{B}, Discard two cards: Return Haunted Dead from your graveyard to the battlefield tapped.",uncommon,emn,14a7c8b7-ca77-47a0-8965-949723ec902d
Hired Torturer,Creature — Human Rogue,{2}{B},['B'],2,3,"Defender
{3}{B}, {T}: Target opponent loses 2 life, then reveals a card at random from their hand.",common,dgm,62e9f79e-6606-4c9b-838c-eda5d8cc612c
Infernal Scarring,Enchantment — Aura,{1}{B},['B'],,,"Enchant creature
Enchanted creature gets +2/+0 and has ""When this creature dies, draw a card.""",common,m21,975e4b8e-add9-439c-9463-e2facee96c10
Jungle Hollow,Land,,[],,,"Jungle Hollow enters tapped.
When Jungle Hollow enters, you gain 1 life.
{T}: Add {B} or {G}.",common,c21,6b159df5-3d29-45e9-bcf1-46f5462919df
Khenra Eternal,Creature — Zombie Jackal Warrior,{1}{B},['B'],2,2,"Afflict 1 (Whenever this creature becomes blocked, defending player loses 1 life.)",common,hou,abbdc277-4a76-44a9-aeda-edabab1f579e
Kragma Warcaller,Creature — Minotaur Warrior,{3}{B}{R},"['B', 'R']",2,3,"Minotaur creatures you control have haste.
Whenever a Minotaur you control attacks, it gets +2/+0 until end of turn.",uncommon,ths,78791fc6-054f-45eb-b8b0-28f2512d72b6
Kitesail Freebooter,Creature — Human Pirate,{1}{B},['B'],1,2,"Flying
When Kitesail Freebooter enters, target opponent reveals their hand. You choose a noncreature, nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield.",uncommon,m21,88496096-fd9a-451a-85d9-31ccc3580623
Korozda Gorgon,Creature — Gorgon,{3}{B}{G},"['B', 'G']",2,5,"Deathtouch
{2}, Remove a +1/+1 counter from a creature you control: Target creature gets -1/-1 until end of turn.",uncommon,dgm,7006e5b9-d6a3-43ce-904b-b2ac0fea67e5
Korozda Guildmage,Creature — Elf Shaman,{B}{G},"['B', 'G']",2,2,"{1}{B}{G}: Target creature gets +1/+1 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)
{2}{B}{G}, Sacrifice a nontoken creature: Create X 1/1 green Saproling creature tokens, where X is the sacrificed creature's toughness.",uncommon,gk1,37622ca4-5627-4cae-af60-c4a2a4368cec
Malakir Blood-Priest,Creature — Vampire Cleric,{1}{B},['B'],2,1,"When Malakir Blood-Priest enters, each opponent loses X life and you gain X life, where X is the number of creatures in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,clb,bbbd64da-6071-49f4-87aa-066209ec1ae9
March of the Drowned,Sorcery,{B},['B'],,,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target Pirate cards from your graveyard to your hand.",common,xln,3dfb8ae9-c6ea-4fab-ac9e-b25c62c540c6
